CO_IES;CO_CATEGAD;CO_ORGACAD;CO_CURSO;CO_GRUPO;CO_MODALIDADE;NU_IDADE;TP_SEXO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO;QE_I02;QE_I08;QE_I10;QE_I14;QE_I15;QE_I21;QE_I22;QE_I23;QE_I25;QE_I26;QE_I40;QE_I43;QE_I64;NT_GER
11;10008;10028;953;27;1;21;F;2015;2016.0;4.0;A;F;A;A;A;A;C;E;H;F;6.0;6.0;6.0;51,2
11;10008;10028;953;27;1;57;F;1978;2015.0;4.0;A;A;B;A;A;A;D;B;H;F;6.0;6.0;5.0;40,7
11;10008;10028;953;27;1;28;F;2008;2016.0;4.0;D;A;A;A;E;B;C;C;H;F;5.0;6.0;5.0;61,9
11;10008;10028;953;27;1;22;F;2015;2016.0;4.0;B;A;A;A;A;A;A;B;H;I;1.0;1.0;1.0;46,1
11;10008;10028;953;27;1;37;F;2006;2013.0;4.0;B;B;E;A;A;B;E;C;E;I;6.0;6.0;6.0;37,6
11;10008;10028;953;27;1;42;F;1999;2016.0;4.0;D;B;A;A;C;A;D;B;E;I;5.0;5.0;5.0;46,1
11;10008;10028;953;27;1;35;F;2003;2016.0;4.0;B;B;A;A;A;A;C;C;H;F;2.0;5.0;3.0;54,3
11;10008;10028;953;27;1;25;F;2012;2016.0;4.0;A;B;A;A;A;B;D;E;E;F;6.0;6.0;4.0;62,3
11;10008;10028;953;27;1;25;M;2013;2018.0;4.0;D;A;A;A;A;B;B;B;E;F;5.0;4.0;5.0;41,9
11;10008;10028;953;27;1;24;F;2012;2016.0;4.0;D;B;A;A;A;A;D;C;H;F;4.0;6.0;5.0;50,2
11;10008;10028;953;27;1;33;M;2003;2016.0;4.0;D;B;E;A;E;B;C;D;E;H;6.0;6.0;6.0;38,3
11;10008;10028;953;27;1;39;F;2015;2016.0;4.0;D;B;B;A;A;B;B;D;H;F;5.0;6.0;5.0;28,9
11;10008;10028;953;27;1;31;F;2015;2016.0;4.0;B;B;E;A;A;A;C;C;E;I;5.0;3.0;4.0;56,4
11;10008;10028;953;27;1;42;F;1996;2016.0;4.0;D;E;D;A;E;A;D;E;E;I;6.0;6.0;6.0;36
11;10008;10028;964;5710;1;27;M;2010;2011.0;3.0;A;D;D;A;A;A;C;C;C;F;3.0;3.0;5.0;22,8
11;10008;10028;964;5710;1;27;M;2010;2014.0;3.0;B;C;E;A;E;A;C;C;A;F;6.0;4.0;6.0;45,4
11;10008;10028;964;5710;1;25;M;2012;2013.0;3.0;A;E;A;A;A;A;B;C;C;F;2.0;2.0;6.0;34,8
11;10008;10028;964;5710;1;23;F;2014;2015.0;3.0;A;E;C;A;A;A;C;C;B;F;5.0;4.0;6.0;47,1
11;10008;10028;964;5710;1;24;M;2013;2014.0;3.0;A;E;A;A;A;A;C;C;C;F;6.0;6.0;6.0;55,9
11;10008;10028;964;5710;1;30;M;2007;2011.0;3.0;A;C;E;A;A;A;B;C;E;F;6.0;6.0;6.0;36,2
11;10008;10028;964;5710;1;23;M;2014;2015.0;3.0;A;F;E;D;C;B;C;B;B;B;3.0;3.0;3.0;16,7
11;10008;10028;964;5710;1;25;M;2012;2014.0;3.0;A;C;E;A;A;A;C;C;H;G;6.0;5.0;6.0;44,3
11;10008;10028;964;5710;1;25;M;2012;2015.0;3.0;A;E;E;A;A;A;A;B;A;G;6.0;4.0;6.0;33,9
11;10008;10028;964;5710;1;23;M;2013;2015.0;3.0;A;C;A;A;A;A;A;E;C;F;3.0;2.0;6.0;28,8
11;10008;10028;964;5710;1;24;M;2011;2014.0;3.0;A;E;A;A;A;A;B;B;A;F;3.0;3.0;3.0;26,8
11;10008;10028;964;5710;1;23;F;2013;2014.0;3.0;A;E;A;A;A;A;C;D;H;F;5.0;2.0;6.0;22,2
11;10008;10028;964;5710;1;24;M;2013;2014.0;3.0;A;F;D;A;A;A;E;B;B;F;1.0;5.0;6.0;43,9
11;10008;10028;964;5710;1;24;M;2013;2014.0;3.0;A;D;A;A;F;A;D;C;E;I;4.0;5.0;5.0;27,5
11;10008;10028;964;5710;1;23;M;2013;2014.0;3.0;A;C;A;A;D;A;B;E;B;F;5.0;1.0;5.0;34,9
11;10008;10028;964;5710;1;25;M;2012;2015.0;3.0;A;E;D;A;A;A;A;A;A;E;6.0;6.0;6.0;38,1
11;10008;10028;964;5710;1;28;M;2007;2014.0;3.0;D;C;E;A;A;A;C;C;C;F;8.0;3.0;6.0;47
11;10008;10028;964;5710;1;25;M;2012;2014.0;3.0;A;E;A;A;A;A;A;B;C;F;5.0;6.0;6.0;49,7
11;10008;10028;964;5710;1;27;M;2010;2014.0;3.0;D;C;E;A;A;A;C;D;E;F;6.0;6.0;6.0;45
11;10008;10028;964;5710;1;34;M;2003;2014.0;3.0;A;C;E;A;F;A;A;D;C;F;4.0;4.0;6.0;38,4
11;10008;10028;964;5710;1;27;F;2010;2016.0;3.0;F;D;A;A;A;A;C;C;A;F;2.0;3.0;4.0;21,6
11;10008;10028;964;5710;1;24;M;2013;2014.0;3.0;D;E;C;A;A;A;D;C;C;F;3.0;1.0;6.0;47,9
11;10008;10028;964;5710;1;24;F;2012;2015.0;3.0;D;D;A;A;A;A;B;D;A;F;6.0;6.0;6.0;34,5
11;10008;10028;964;5710;1;22;M;2014;2015.0;3.0;D;B;A;A;E;B;C;C;E;G;2.0;5.0;3.0;51,8
11;10008;10028;964;5710;1;24;F;2014;2015.0;3.0;B;C;E;A;E;A;A;C;A;F;5.0;6.0;6.0;47,7
11;10008;10028;964;5710;1;24;M;2012;2013.0;3.0;A;F;A;A;A;A;A;B;H;F;1.0;4.0;6.0;32,4
11;10008;10028;964;5710;1;23;M;2014;2015.0;3.0;A;F;A;A;A;A;B;D;E;F;5.0;5.0;6.0;65,5
11;10008;10028;964;5710;1;27;M;2012;2015.0;3.0;A;F;B;A;A;A;B;B;C;F;5.0;6.0;5.0;37,3
11;10008;10028;964;5710;1;23;M;2014;2015.0;3.0;A;G;E;A;A;A;B;B;B;F;6.0;6.0;6.0;55,6
11;10008;10028;964;5710;1;31;M;2006;2012.0;3.0;D;E;B;A;A;A;B;B;E;F;4.0;6.0;6.0;22,2
11;10008;10028;964;5710;1;25;F;2012;2014.0;3.0;A;A;C;A;A;A;B;B;H;H;5.0;6.0;6.0;49,3
11;10008;10028;964;5710;1;27;F;2009;2015.0;3.0;D;C;E;A;A;A;B;B;A;F;4.0;8.0;6.0;44,1
11;10008;10028;964;5710;1;27;F;2010;2011.0;3.0;A;F;C;A;A;A;A;B;C;F;6.0;6.0;6.0;46,2
