"CO_CURSO","NO_CURSO","CO_IES","CO_GRUPO","CO_MODALIDADE","CO_MUNIC_CURSO"
953,"",11,27,1,2611606
964,"",11,5710,1,2611606
970,"",11,6008,1,2611606
5277,"",2409,6,1,2604106
8414,"",409,6,1,2603454
8427,"",409,23,1,2611606
8434,"",409,5710,1,2611606
8437,"",409,12,1,2611606
8475,"",410,21,1,2611606
13584,"",580,5710,1,2611606
13585,"",580,5806,1,2611606
13586,"",580,5902,1,2611606
13588,"",580,6008,1,2611606
13597,"",580,55,1,2611606
13599,"",580,23,1,2611606
13600,"",580,19,1,2611606
13601,"",580,12,1,2611606
13602,"",580,28,1,2611606
13610,"",580,21,1,2611606
13611,"",580,6,1,2611606
13614,"",580,36,1,2611606
13616,"",580,5806,1,2611606
14502,"",587,17,1,2611606
14503,"",587,6405,1,2611606
14507,"",587,5,1,2611606
14508,"",587,51,1,2611606
16108,"",704,17,1,2601102
18785,"",1077,36,1,2611606
19852,"",1255,6208,1,2611606
20306,"",580,27,1,2611606
21710,"",580,6208,1,2611606
29418,"",409,5806,1,2611606
30465,"",409,5806,1,2611606
45477,"",409,5806,1,2611606
45883,"",409,4003,1,2611606
48229,"",1809,92,1,2611606
51164,"",11,6307,1,2611606
52971,"",11,21,1,2611606
52977,"",11,36,1,2611606
56394,"",3146,6,1,2611606
58854,"",580,4003,1,2611606
59124,"",1708,36,1,2611606
65892,"",663,3501,1,2611606
65897,"",663,36,1,2611606
67259,"",2409,3501,1,2604106
67261,"",2409,36,1,2604106
67291,"",2409,55,1,2604106
68518,"",409,5814,1,2611606
68522,"",409,5902,1,2611606
68587,"",2835,55,1,2611606
73458,"",663,23,1,2611606
74042,"",4858,23,1,2601201
74060,"",3984,23,1,2611101
74062,"",3984,51,1,2611101
74310,"",2835,28,1,2611606
74312,"",2835,36,1,2611606
74315,"",2835,23,1,2611606
74317,"",2835,19,1,2611606
74328,"",1775,28,1,2604106
79838,"",1676,28,1,2611606
79840,"",1676,23,1,2611606
79854,"",1676,36,1,2611606
80330,"",2835,3501,1,2611606
80335,"",2835,6307,1,2611606
83024,"",3515,19,1,2616407
83426,"",3631,21,1,2611606
85348,"",685,23,1,2601706
85586,"",3984,12,1,2611101
85635,"",1809,69,1,2611606
86205,"",1255,3501,1,2611606
86589,"",1775,5710,1,2604106
87537,"",3615,12,1,2611606
87705,"",3615,23,1,2611606
87958,"",3984,5,1,2611101
89994,"",2409,23,1,2604106
89996,"",2409,19,1,2604106
91555,"",587,17,1,2606002
91561,"",587,5,1,2606002
91738,"",587,51,1,2606002
92689,"",663,6208,1,2611606
94766,"",2835,21,1,2611606
94975,"",1775,21,1,2604106
95631,"",409,3501,1,2611606
96707,"",144,23,1,2609600
99210,"",2242,36,1,2611606
99509,"",3881,23,1,2613909
99849,"",1775,23,1,2604106
100746,"",1809,92,0,2611606
101129,"",580,5710,1,2604106
101149,"",580,28,1,2616407
101153,"",580,23,1,2616407
101452,"",587,17,1,2613909
103496,"",409,36,1,2611101
103498,"",409,23,1,2611101
106024,"",3615,19,1,2611606
107619,"",1805,3501,1,2607901
107854,"",3615,36,1,2611606
108938,"",663,28,1,2611606
109562,"",1805,28,1,2607901
109564,"",1805,36,1,2607901
109578,"",1708,23,1,2611606
115250,"",1809,5710,1,2611606
116508,"",1077,23,1,2611606
116510,"",1077,6208,1,2611606
116914,"",3984,19,1,2611101
116926,"",3984,17,1,2611101
117382,"",580,6002,1,2611606
118092,"",580,6208,1,2604106
118466,"",587,6002,1,2606002
118474,"",587,51,1,2613909
118608,"",1709,69,1,2611606
118710,"",1709,23,1,2611606
122386,"",1709,95,1,2611606
416944,"",3984,3501,1,2611101
1071085,"",3881,36,1,2613909
1076168,"",4702,3501,1,2611606
1107660,"",3515,23,1,2616407
1108119,"",1709,6,1,2611606
1108786,"",2835,12,1,2611606
1109055,"",1709,55,1,2611606
