"CO_CURSO","NO_CURSO","FK_CO_IES"
1,DIREITO,1
2,CIÊNCIAS ECONÔMICAS,1
3,ENGENHARIA CIVIL,1
6,PEDAGOGIA,1
7,SERVIÇO SOCIAL,1
8,CIÊNCIAS CONTÁBEIS,1
9,AGRONOMIA,1
10,ENGENHARIA FLORESTAL,1
12,MEDICINA,1
13,ADMINISTRAÇÃO,1
15,GEOLOGIA,1
16,ENGENHARIA ELÉTRICA,1
17,ENFERMAGEM,1
19,EDUCAÇÃO FÍSICA,1
20,NUTRIÇÃO,1
21,CIÊNCIAS CONTÁBEIS,1
23,PEDAGOGIA,1
24,GEOGRAFIA,1
25,HISTÓRIA,1
26,MATEMÁTICA,1
27,FÍSICA,1
29,CIÊNCIAS BIOLÓGICAS,1
32,CIÊNCIAS BIOLÓGICAS,1
34,MATEMÁTICA,1
36,CIÊNCIA DA COMPUTAÇÃO,1
37,MEDICINA VETERINÁRIA,1
44,ARQUITETURA E URBANISMO,1
119,ESTATÍSTICA,2
122,CIÊNCIAS ECONÔMICAS,2
126,SERVIÇO SOCIAL,2
127,CIÊNCIA DA COMPUTAÇÃO,2
128,RELAÇÕES INTERNACIONAIS,2
132,ARQUITETURA E URBANISMO,2
133,MÚSICA,2
134,EDUCAÇÃO ARTÍSTICA,2
135,AGRONOMIA,2
136,ENGENHARIA CIVIL,2
137,ENGENHARIA ELÉTRICA,2
138,ENGENHARIA MECÂNICA,2
139,ENGENHARIA FLORESTAL,2
140,MEDICINA,2
141,ODONTOLOGIA,2
142,EDUCAÇÃO FÍSICA,2
143,ENFERMAGEM,2
144,NUTRIÇÃO,2
145,ADMINISTRAÇÃO,2
146,BIBLIOTECONOMIA,2
148,DIREITO,2
149,CIÊNCIAS CONTÁBEIS,2
150,PEDAGOGIA,2
151,ARTES PLÁSTICAS,2
156,CIÊNCIA POLÍTICA,2
157,ARQUIVOLOGIA,2
158,FÍSICA,2
159,QUÍMICA,2
160,CIÊNCIAS BIOLÓGICAS,2
161,MATEMÁTICA,2
162,LETRAS - PORTUGUÊS,2
163,PEDAGOGIA,2
164,EDUCAÇÃO ARTÍSTICA,2
165,DIREITO,2
166,LETRAS - ESPANHOL,2
167,CIÊNCIAS CONTÁBEIS,2
294,ENGENHARIA CIVIL,3
295,ENGENHARIA QUÍMICA,3
297,MATEMÁTICA,3
299,QUÍMICA INDUSTRIAL,3
302,ENFERMAGEM,3
303,MEDICINA,3
304,ODONTOLOGIA,3
306,CIÊNCIAS CONTÁBEIS,3
308,DIREITO,3
310,GEOGRAFIA,3
311,HISTÓRIA,3
315,PEDAGOGIA,3
317,CIÊNCIA DA COMPUTAÇÃO,3
318,CIÊNCIAS SOCIAIS,3
319,ENGENHARIA AGRONÔMICA,3
321,MATEMÁTICA,3
322,QUÍMICA,3
326,FILOSOFIA,3
327,CIÊNCIAS BIOLÓGICAS,3
328,GEOGRAFIA,3
376,DIREITO,4
377,SERVIÇO SOCIAL,4
378,CIÊNCIAS ECONÔMICAS,4
379,MATEMÁTICA,4
380,FILOSOFIA,4
381,PEDAGOGIA,4
382,QUÍMICA,4
383,ENGENHARIA CIVIL,4
385,ENGENHARIA FLORESTAL,4
386,ENGENHARIA DE PESCA,4
388,CIÊNCIAS CONTÁBEIS,4
389,MEDICINA,4
390,FARMÁCIA,4
391,ODONTOLOGIA,4
392,ADMINISTRAÇÃO,4
393,BIBLIOTECONOMIA,4
394,CIÊNCIAS NATURAIS,4
395,COMUNICAÇÃO SOCIAL - JORNALISMO,4
396,EDUCAÇÃO FÍSICA,4
397,FÍSICA,4
398,CIÊNCIAS BIOLÓGICAS,4
399,AGRONOMIA,4
400,ESTATÍSTICA,4
401,GEOLOGIA,4
402,HISTÓRIA,4
403,GEOGRAFIA,4
407,CIÊNCIAS SOCIAIS,4
484,MEDICINA,5
485,ODONTOLOGIA,5
486,ENFERMAGEM,5
487,EDUCAÇÃO FÍSICA,5
488,NUTRIÇÃO,5
490,CIÊNCIAS CONTÁBEIS,5
491,DIREITO,5
492,CIÊNCIAS ECONÔMICAS,5
494,HISTÓRIA,5
495,GEOGRAFIA,5
496,FILOSOFIA,5
497,SERVIÇO SOCIAL,5
498,CIÊNCIAS SOCIAIS,5
499,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA,5
500,ADMINISTRAÇÃO,5
501,CIÊNCIAS CONTÁBEIS,5
502,CIÊNCIAS ECONÔMICAS,5
504,MEDICINA VETERINÁRIA,5
508,ENGENHARIA AGRONÔMICA,5
512,ENGENHARIA CIVIL,5
513,CIÊNCIA DA COMPUTAÇÃO,5
516,FARMÁCIA,5
517,ARQUITETURA E URBANISMO,5
518,FÍSICA,5
519,QUÍMICA,5
520,MATEMÁTICA,5
525,CIÊNCIAS BIOLÓGICAS,5
586,ENGENHARIA CIVIL,6
587,ENGENHARIA DE MINAS,6
588,ENGENHARIA GEOLÓGICA,6
