Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1070874,2021-02-28,2021-02-28,,"Os 7 de Chicago","The Trial of the Chicago 7",https://www.imdb.com/title/tt1070874/,Filme,7.7,129,2020,"Drama, História, Suspense",203506,2020-10-16,"Aaron Sorkin",8,2021-02-28
2,tt10612922,2021-02-28,2021-02-28,,"Uma Noite em Miami...","One Night in Miami...",https://www.imdb.com/title/tt10612922/,Filme,7.1,114,2020,"Drama",35629,2021-01-15,"Regina King",,
3,tt2762506,2021-02-28,2021-02-28,,"Bacurau","Bacurau",https://www.imdb.com/title/tt2762506/,Filme,7.3,131,2019,"Ação, Aventura, Drama, Terror, Mistério, Suspense, Faroeste",33693,2019-08-29,"Juliano Dornelles, Kleber Mendonça Filho",,
4,tt2531336,2021-02-28,2021-02-28,,"Lupin","Lupin",https://www.imdb.com/title/tt2531336/,Série de TV,7.5,45,2021,"Ação, Policial, Drama, Mistério",155071,2021-01-08,,,
5,tt8878862,2021-02-28,2021-02-28,,"Cidade Invisível","Cidade Invisível",https://www.imdb.com/title/tt8878862/,Série de TV,7.2,60,2021,"Policial, Drama, Fantasia, Mistério, Suspense",8033,2021-02-05,,,
6,tt13853720,2021-03-05,2021-03-05,,"Você Radical - Safári","Animals on the Loose: A You vs. Wild Movie",https://www.imdb.com/title/tt13853720/,Filme para televisão,5.8,90,2021,"Aventura",1134,2021-02-16,"Ben Simms",,
7,tt10044952,2021-03-05,2021-03-05,,"Você Radical","You vs. Wild",https://www.imdb.com/title/tt10044952/,Série de TV,6.6,20,2019,"Aventura, Reality show",3011,2019-04-10,,,
8,tt9140560,2021-03-07,2021-03-07,,"WandaVision","WandaVision",https://www.imdb.com/title/tt9140560/,Minissérie de televisão,7.9,40,2021,"Ação, Comédia, Fantasia, Mistério, Ficção científica",409499,2021-01-15,,,
9,tt0033467,2021-03-13,2021-03-13,,"Cidadão Kane","Citizen Kane",https://www.imdb.com/title/tt0033467/,Filme,8.2,119,1941,"Drama, Mistério",490086,1941-06-16,"Orson Welles",,
10,tt5363618,2021-03-18,2021-03-18,,"O Som do Silêncio","Sound of Metal",https://www.imdb.com/title/tt5363618/,Filme,7.7,120,2019,"Drama, Musical",181954,2020-12-04,"Darius Marder",,
11,tt1356393,2021-03-26,2021-03-26,,"Muito Além do Cidadão Kane","Beyond Citizen Kane",https://www.imdb.com/title/tt1356393/,Filme para televisão,8.3,93,1993,"Documentário",625,1993-03-10,"Simon Hartog",,
12,tt10514222,2021-04-06,2021-04-06,,"A Voz Suprema do Blues","Ma Rainey's Black Bottom",https://www.imdb.com/title/tt10514222/,Filme,6.9,94,2020,"Drama, Musical",76615,2020-12-18,"George C. Wolfe",,
13,tt13143964,2021-04-06,2021-04-06,,"Borat: Fita de Cinema Seguinte","Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan",https://www.imdb.com/title/tt13143964/,Filme,6.6,95,2020,"Comédia",163146,2020-10-23,"Jason Woliner",,
14,tt9777644,2021-04-06,2021-04-06,,"Destacamento Blood","Da 5 Bloods",https://www.imdb.com/title/tt9777644/,Filme,6.5,154,2020,"Aventura, Drama, Guerra",57091,2020-06-12,"Spike Lee",,
15,tt0371746,2021-04-06,2021-04-06,,"Homem de Ferro","Iron Man",https://www.imdb.com/title/tt0371746/,Filme,7.9,126,2008,"Ação, Aventura, Ficção científica",1206412,2008-04-30,"Jon Favreau",,
16,tt0800080,2021-04-06,2021-04-06,,"O Incrível Hulk","The Incredible Hulk",https://www.imdb.com/title/tt0800080/,Filme,6.6,112,2008,"Ação, Aventura, Ficção científica",557682,2008-06-13,"Louis Leterrier",,
17,tt1228705,2021-04-06,2021-04-06,,"Homem de Ferro 2","Iron Man 2",https://www.imdb.com/title/tt1228705/,Filme,6.9,124,2010,"Ação, Ficção científica",925597,2010-04-30,"Jon Favreau",,
18,tt0800369,2021-04-06,2021-04-06,,"Thor","Thor",https://www.imdb.com/title/tt0800369/,Filme,7.0,115,2011,"Ação, Fantasia",954645,2011-04-29,"Kenneth Branagh",,
19,tt0458339,2021-04-06,2021-04-06,,"Capitão América: O Primeiro Vingador","Captain America: The First Avenger",https://www.imdb.com/title/tt0458339/,Filme,6.9,124,2011,"Ação, Aventura, Ficção científica",955568,2011-07-29,"Joe Johnston",,
20,tt0848228,2021-04-06,2021-04-06,,"Os Vingadores","The Avengers",https://www.imdb.com/title/tt0848228/,Filme,8.0,143,2012,"Ação, Ficção científica",1540309,2012-04-27,"Joss Whedon",,
21,tt1300854,2021-04-06,2021-04-06,,"Homem de Ferro 3","Iron Man Three",https://www.imdb.com/title/tt1300854/,Filme,7.1,130,2013,"Ação, Aventura, Ficção científica",953695,2013-04-26,"Shane Black",,
22,tt1981115,2021-04-06,2021-04-06,,"Thor: O Mundo Sombrio","Thor: The Dark World",https://www.imdb.com/title/tt1981115/,Filme,6.7,112,2013,"Ação, Aventura, Fantasia, Ficção científica",768461,2013-11-01,"Alan Taylor",,
